order_id,customer_id,order_date,status,region_code
O00001,,2024-08-10 18:12:39,SHIPPED,EU-SOUTH
O00002,C0530,2024-01-08 03:30:42,DELIVERED,APAC
O00003,C0292,2024-02-27 07:51:58,DELIVERED,APAC
O00004,C0423,2024-02-22 14:24:41,SHIPPED,US-EAST
O00005,C0140,2023-10-11 08:37:57,SHIPPED,LATAM
O00006,C0464,2024-12-08 08:25:04,SHIPPED,APAC
O00007,C0193,2025-02-03 06:56:27,SHIPPED,US-WEST
O00008,C0548,2023-03-19 00:00:00,PLACED,US-EAST
O00009,C0276,2024-03-14 00:00:00,PLACED,EU-SOUTH
O00010,C0239,2023-01-13 00:00:00,PLACED,US-EAST
O00011,,2025-02-05 17:58:46,SHIPPED,EU-NORTH
O00012,C0381,2025-02-13 05:32:25,DELIVERED,US-EAST
O00013,C0083,2024-05-28 00:33:43,CANCELLED,US-WEST
O00014,C0273,2023-03-29 01:15:39,DELIVERED,US-EAST
O00015,C0482,2025-04-23 19:39:49,SHIPPED,EU-NORTH
O00016,C0013,2024-08-15 18:14:12,PLACED,LATAM
O00017,C0395,2024-01-22 17:59:22,DELIVERED,EU-SOUTH
O00018,C0035,2024-01-19 22:52:27,SHIPPED,LATAM
O00019,C0534,2023-05-26 23:05:38,DELIVERED,US-WEST
O00020,C0399,2025-01-04 12:12:50,DELIVERED,EU-NORTH
O00021,C0163,2024-05-16 20:40:07,DELIVERED,US-EAST
O00022,C0534,2025-05-03 17:49:31,PLACED,EU-SOUTH
O00023,C0204,2024-04-09 04:33:33,DELIVERED,US-EAST
O00024,C0116,2023-12-05 07:44:03,SHIPPED,EU-SOUTH
O00025,C0016,2024-05-19 02:44:23,SHIPPED,EU-NORTH
O00026,C0123,2025-06-27 07:04:44,DELIVERED,US-WEST
O00027,C0044,2023-01-14 20:55:44,DELIVERED,LATAM
O00028,C0159,2025-01-08 07:22:30,DELIVERED,US-EAST
O00029,C0162,2024-01-22 09:02:16,DELIVERED,LATAM
O00030,C0062,2024-06-09 17:17:24,PLACED,LATAM
O00031,C0550,2023-08-28 02:29:42,DELIVERED,US-WEST
O00032,C0239,2025-01-27 20:06:03,SHIPPED,APAC
O00033,C0450,2024-06-23 12:56:37,DELIVERED,US-EAST
O00034,C0367,2024-08-09 20:14:48,DELIVERED,EU-NORTH
O00035,C0497,2023-03-03 08:14:22,DELIVERED,APAC
O00036,C0502,2024-04-02 19:45:23,SHIPPED,US-WEST
O00037,C0357,2025-04-24 11:38:34,SHIPPED,EU-SOUTH
O00038,C0165,2024-03-03 16:50:23,PLACED,US-WEST
O00039,C0303,2024-11-29 02:15:26,CANCELLED,APAC
O00040,C0465,2024-07-24 06:57:13,PLACED,LATAM
O00041,C0389,2025-02-24 23:28:17,DELIVERED,US-EAST
O00042,C0245,2024-07-19 13:42:25,SHIPPED,US-EAST
O00043,C0397,2025-04-17 05:45:19,SHIPPED,LATAM
O00044,C0158,2025-02-11 21:58:37,DELIVERED,EU-NORTH
O00045,C0330,2024-09-28 14:37:12,PLACED,APAC
O00046,C0045,2023-04-14 14:00:17,CANCELLED,US-WEST
O00047,C0033,2023-10-05 12:08:13,SHIPPED,EU-SOUTH
O00048,C0102,2023-10-25 15:59:10,PLACED,LATAM
O00049,C0502,2024-08-26 16:00:50,DELIVERED,LATAM
O00050,C0051,2024-02-02 14:04:48,DELIVERED,APAC
O00051,C0014,2023-04-21 02:22:22,RETURNED,US-WEST
O00052,C0082,2025-02-02 08:55:29,DELIVERED,LATAM
O00053,C0370,2023-04-05 07:04:01,DELIVERED,EU-SOUTH
O00054,C0060,2024-07-27 07:52:35,CANCELLED,EU-NORTH
O00055,C0042,2025-04-01 19:19:34,DELIVERED,EU-NORTH
O00056,C0222,2023-05-02 01:38:28,RETURNED,US-EAST
O00057,C0237,2023-06-07 05:56:45,DELIVERED,US-WEST
O00058,C0539,2023-10-28 00:00:53,DELIVERED,APAC
O00059,C0426,2023-10-05 21:47:48,DELIVERED,LATAM
O00060,C0367,2025-06-14 15:51:04,DELIVERED,LATAM
O00061,C0107,2024-10-25 10:30:34,SHIPPED,US-WEST
O00062,C0412,2025-05-04 08:11:55,DELIVERED,LATAM
O00063,C0547,2023-09-03 17:14:44,RETURNED,EU-SOUTH
O00064,C0323,2024-07-01 07:35:36,DELIVERED,EU-NORTH
O00065,C0423,2024-07-31 10:42:28,DELIVERED,EU-SOUTH
O00066,C0247,2024-05-17 11:07:27,DELIVERED,US-WEST
O00067,C0261,2024-08-05 15:21:53,DELIVERED,EU-SOUTH
O00068,C0407,2024-11-26 04:00:04,PLACED,US-EAST
O00069,C0017,2024-03-17 22:15:50,DELIVERED,EU-NORTH
O00070,C0308,2023-01-11 04:54:13,RETURNED,US-WEST
O00071,C0023,2024-05-04 04:29:50,DELIVERED,LATAM
O00072,C0524,2024-03-04 16:25:39,DELIVERED,APAC
O00073,C0097,2023-08-29 08:11:07,PLACED,EU-NORTH
O00074,C0142,2023-08-31 12:05:41,SHIPPED,APAC
O00075,C0239,2024-01-24 03:20:26,SHIPPED,EU-NORTH
O00076,C0410,2023-05-23 18:28:16,DELIVERED,US-WEST
O00077,C0333,2023-04-30 22:16:58,DELIVERED,US-WEST
O00078,C0098,2025-01-28 12:15:48,DELIVERED,EU-NORTH
O00079,C0391,2023-02-28 01:18:50,PLACED,US-EAST
O00080,C0357,2024-06-03 10:56:58,CANCELLED,EU-SOUTH
O00081,C0124,2024-10-09 01:03:17,CANCELLED,US-WEST
O00082,C0392,2023-01-18 18:18:16,PLACED,APAC
O00083,C0327,2023-03-05 23:23:08,DELIVERED,US-WEST
O00084,C0515,2024-05-22 17:09:58,DELIVERED,US-WEST
O00085,C0403,2023-03-20 11:30:54,RETURNED,APAC
O00086,C0517,2025-06-12 15:03:19,PLACED,EU-SOUTH
O00087,C0404,2024-03-26 03:53:39,PLACED,EU-NORTH
O00088,C0488,2023-05-09 05:30:17,DELIVERED,US-EAST
O00089,C0409,2025-05-01 12:36:10,SHIPPED,EU-SOUTH
O00090,C0445,2025-02-18 13:19:18,DELIVERED,US-WEST
O00091,C0493,2023-07-29 12:20:47,DELIVERED,EU-SOUTH
O00092,,2024-09-06 02:33:11,DELIVERED,APAC
O00093,C0253,2025-03-25 09:22:26,SHIPPED,EU-NORTH
O00094,C0332,2024-10-30 02:00:45,DELIVERED,APAC
O00095,C0116,2023-05-20 04:19:50,DELIVERED,EU-SOUTH
O00096,C0357,2024-07-21 10:09:53,SHIPPED,EU-NORTH
O00097,C0313,2023-02-07 14:29:45,SHIPPED,EU-NORTH
O00098,C0150,2024-11-17 22:47:15,DELIVERED,US-WEST
O00099,C0383,2023-11-07 04:48:15,SHIPPED,LATAM
