item_id,order_id,product_id,quantity,unit_price,discount_percent
I000001,O00001,P0421,4,46.17,18.38
I000002,O00001,P0328,3,58.1,14.83
I000003,O00002,P0289,4,341.64,9.84
I000004,O00002,P0204,4,429.4,22.11
I000005,O00002,P0087,2,169.08,0.57
I000006,O00003,P0092,2,62.52,21.3
I000007,O00003,P0474,-2,176.09,15.01
I000008,O00004,P0092,2,83.62,2.93
I000009,O00004,P0377,5,305.41,23.0
I000010,O00005,P0507,2,129.74,20.34
I000011,O00005,P0122,3,280.89,12.35
I000012,O00005,P0230,2,29.35,5.17
I000013,O00005,P0209,2,426.96,7.07
I000014,O00006,P0429,4,365.21,0.72
I000015,O00006,P0185,3,172.62,11.27
I000016,O00007,P0379,1,262.62,3.33
I000017,O00007,P0470,3,85.39,9.94
I000018,O00008,P0393,5,131.76,2.38
I000019,O00008,P0434,1,88.08,23.28
I000020,O00009,P0363,5,143.63,7.56
I000021,O00009,P0047,4,376.64,3.31
I000022,O00009,P0006,5,107.93,4.48
I000023,O00009,P0260,2,78.3,23.26
I000024,O00010,P0136,4,83.03,2.92
I000025,O00010,P0092,1,84.59,12.48
I000026,O00010,P0325,3,214.34,23.16
I000027,O00010,P0544,3,20.84,6.58
I000028,O00011,P0530,2,33.04,24.86
I000029,O00011,P0321,2,97.83,23.07
I000030,O00011,P0447,4,72.6,3.72
I000031,O00012,P0188,4,59.89,17.65
I000032,O00012,P0037,4,264.52,22.38
I000033,O00013,P0042,4,121.65,21.15
I000034,O00013,P0453,2,25.47,2.34
I000035,O00013,P0366,3,211.1,4.21
I000036,O00013,P0497,5,205.85,14.08
I000037,O00014,P0005,5,128.98,23.01
I000038,O00014,P0539,2,229.87,16.92
I000039,O00015,P0027,4,247.02,23.23
I000040,O00015,P0292,1,346.33,3.84
I000041,O00015,P0125,1,148.18,17.69
I000042,O00016,P0465,1,292.52,23.77
I000043,O00016,P0276,3,68.6,25.0
I000044,O00016,P0006,5,113.19,21.58
I000045,O00016,P0338,3,136.1,1.39
I000046,O00017,P0391,1,98.32,4.45
I000047,O00018,P0092,4,78.46,7.12
I000048,O00018,P0022,2,22.97,12.27
I000049,O00018,P0214,4,132.89,23.04
I000050,O00018,P0167,5,268.74,16.64
I000051,O00019,P0525,4,336.15,11.91
I000052,O00019,P0205,5,119.15,2.26
I000053,O00019,P0502,4,142.1,15.35
I000054,O00020,P0437,3,172.7,16.91
I000055,O00020,P0096,2,119.65,13.18
I000056,O00020,P0042,5,99.65,11.71
I000057,O00020,P0526,-2,132.32,24.6
I000058,O00021,P0255,3,8.42,13.77
I000059,O00021,P0536,1,271.97,12.77
I000060,O00021,P0438,4,127.4,16.52
I000061,O00022,P0364,5,34.25,18.51
I000062,O00022,P0261,4,73.24,4.56
I000063,O00022,P0084,4,125.53,10.41
I000064,O00023,P0322,5,384.27,8.53
I000065,O00023,P0466,2,235.43,1.96
I000066,O00023,P0461,5,18.24,16.84
I000067,O00024,P0019,1,116.79,11.93
I000068,O00024,P0006,4,157.27,24.15
I000069,O00024,P0405,5,293.13,7.57
I000070,O00024,P0120,-2,61.13,24.08
I000071,O00025,P0310,1,247.86,20.4
I000072,O00025,P0090,2,343.57,5.23
I000073,O00025,P0129,2,330.55,10.89
I000074,O00025,P0139,5,149.64,7.52
I000075,O00026,P0152,1,233.35,3.81
I000076,O00026,P0486,4,413.77,11.79
I000077,O00026,P0433,4,186.56,5.03
I000078,O00026,P0023,5,246.68,9.79
I000079,O00027,P0009,4,131.53,18.43
I000080,O00027,P0106,5,250.61,24.98
I000081,O00027,P0443,1,71.57,12.15
I000082,O00028,P0238,4,247.96,13.83
I000083,O00028,P0063,3,40.11,10.43
I000084,O00028,P0541,4,202.82,15.57
I000085,O00028,P0020,3,351.17,10.91
I000086,O00029,P0295,4,270.8,5.8
I000087,O00029,P0197,2,271.1,17.12
I000088,O00030,P0135,3,79.08,19.99
I000089,O00030,P0301,2,277.95,7.06
