product_id,product_name,category,subcategory,cost_price
P0001,Ultra Phones 1,Electronics,Phones,226.11
P0002,Ultra Phones 2,Electronics,Phones,27.53
P0003,Classic Phones 3,Electronics,Phones,35.02
P0004,Pro Phones 4,Electronics,Phones,46.16
P0005,  lite phones 5  ,Electronics,Phones,101.77
P0006,Ultra Phones 6,Electronics,Phones,91.72
P0007,Classic Phones 7,Electronics,Phones,73.56
P0008,Pro Phones 8,Electronics,Phones,155.46
P0009,Lite Phones 9,Electronics,Phones,77.3
P0010,Premium Phones 10,Electronics,Phones,122.36
P0011,Essential Phones 11,Electronics,Phones,38.62
P0012,Premium Phones 12,Electronics,Phones,66.04
P0013,Premium Phones 13,Electronics,Phones,199.74
P0014,Lite Phones 14,Electronics,Phones,92.98
P0015,Essential Phones 15,Electronics,Phones,89.29
P0016,Classic Phones 16,Electronics,Phones,100.15
P0017,  classic phones 17  ,Electronics,Phones,151.29
P0018,Classic Phones 18,Electronics,Phones,19.35
P0019,Premium Phones 19,Electronics,Phones,92.57
P0020,Ultra Phones 20,Electronics,Phones,243.63
P0021,Lite Phones 21,Electronics,Phones,64.08
P0022,Lite Phones 22,Electronics,Phones,18.7
P0023,Ultra Phones 23,Electronics,Phones,146.04
P0024,Essential Phones 24,Electronics,Phones,91.93
P0025,Ultra Phones 25,Electronics,Phones,48.14
P0026,Lite Phones 26,Electronics,Phones,175.92
P0027,Pro Phones 27,Electronics,Phones,177.35
P0028,Premium Phones 28,Electronics,Phones,143.08
P0029,Ultra Phones 29,Electronics,Phones,209.99
P0030,Essential Phones 30,Electronics,Phones,137.82
P0031,Pro Phones 31,Electronics,Phones,27.11
P0032,Ultra Phones 32,Electronics,Phones,9.88
P0033,Classic Phones 33,Electronics,Phones,229.88
P0034,Ultra Phones 34,Electronics,Phones,88.49
P0035,Classic Laptops 35,Electronics,Laptops,19.59
P0036,Lite Laptops 36,Electronics,Laptops,229.72
P0037,Premium Laptops 37,Electronics,Laptops,215.86
P0038,Classic Laptops 38,Electronics,Laptops,177.61
P0039,Premium Laptops 39,Electronics,Laptops,29.75
P0040,Ultra Laptops 40,Electronics,Laptops,244.09
P0041,Essential Laptops 41,Electronics,Laptops,199.0
P0042,Lite Laptops 42,Electronics,Laptops,82.73
P0043,Premium Laptops 43,Electronics,Laptops,174.92
P0044,Classic Laptops 44,Electronics,Laptops,59.69
P0045,Ultra Laptops 45,Electronics,Laptops,97.7
P0046,Classic Laptops 46,Electronics,Laptops,36.2
P0047,Lite Laptops 47,Electronics,Laptops,237.43
P0048,Premium Laptops 48,Electronics,Laptops,12.93
P0049,Premium Laptops 49,Electronics,Laptops,59.12
P0050,Essential Laptops 50,Electronics,Laptops,39.46
P0051,Ultra Laptops 51,Electronics,Laptops,89.97
P0052,Lite Laptops 52,Electronics,Laptops,221.9
P0053,Lite Laptops 53,Electronics,Laptops,169.16
P0054,Classic Laptops 54,Electronics,Laptops,114.42
P0055,Ultra Laptops 55,Electronics,Laptops,174.83
P0056,  PRO LAPTOPS 56  ,Electronics,Laptops,181.5
P0057,Essential Laptops 57,Electronics,Laptops,242.43
P0058,Essential Laptops 58,Electronics,Laptops,221.03
P0059,Essential Laptops 59,Electronics,Laptops,29.85
P0060,Premium Laptops 60,Electronics,Laptops,164.49
P0061,Ultra Laptops 61,Electronics,Laptops,115.57
P0062,Pro Laptops 62,Electronics,Laptops,77.25
P0063,Pro Laptops 63,Electronics,Laptops,23.18
P0064,  essential laptops 64  ,Electronics,Laptops,44.42
P0065,Pro Laptops 65,Electronics,Laptops,87.8
P0066,Essential Laptops 66,Electronics,Laptops,177.6
P0067,Lite Laptops 67,Electronics,Laptops,45.42
P0068,Ultra Laptops 68,Electronics,Laptops,18.12
P0069,Ultra Audio 69,Electronics,Audio,105.27
P0070,Lite Audio 70,Electronics,Audio,137.33
P0071,  classic audio 71  ,Electronics,Audio,63.2
P0072,Essential Audio 72,Electronics,Audio,42.63
P0073,Essential Audio 73,Electronics,Audio,26.47
